Name,13C,CO2,Date,Plot,Treatment,Depth,Type,UID,pic.CO2
BL_1C_0_20140305,-9.5,405,3/5/14,1,Control,0,A,1Control0,
BL_1H_0_20140305,-9.5,405,3/5/14,1,Heated,0,A,1Heated0,
BL_2C_0_20140305,-9.5,405,3/5/14,2,Control,0,A,2Control0,
BL_2H_0_20140305,-9.5,405,3/5/14,2,Heated,0,A,2Heated0,
BL_3C_0_20140305,-9.5,405,3/5/14,3,Control,0,A,3Control0,
BL_3H_0_20140305,-9.5,405,3/5/14,3,Heated,0,A,3Heated0,
1C_15,-25.42155,5843.330351,3/5/14,1,Control,15,A,1Control15,
1C_30,-24.99298397,9233.202001,3/5/14,1,Control,30,A,1Control30,
1C_50,-24.16566333,10592.00088,3/5/14,1,Control,50,A,1Control50,
1C_70,-23.78944982,9007.673995,3/5/14,1,Control,70,A,1Control70,
1C_90,-23.76558889,9759.865677,3/5/14,1,Control,90,A,1Control90,
1H_15,-25.45339349,7863.705213,3/5/14,1,Heated,15,A,1Heated15,
1H_30,-24.72258596,8333.138793,3/5/14,1,Heated,30,A,1Heated30,
1H_50,-23.35436894,12697.16633,3/5/14,1,Heated,50,A,1Heated50,
1H_70,-23.15298523,13446.72437,3/5/14,1,Heated,70,A,1Heated70,
1H_90,-23.05714854,9670.256476,3/5/14,1,Heated,90,A,1Heated90,
2C_15,-25.25092832,2573.761807,3/5/14,2,Control,15,A,2Control15,
2C_30,-26.13020963,5131.856181,3/5/14,2,Control,30,A,2Control30,
2C_50,-20.75518433,465.561152,3/5/14,2,Control,50,A,2Control50,
2C_70,-24.53843554,10175.9041,3/5/14,2,Control,70,A,2Control70,
2C_90,0,12783.22564,3/5/14,2,Control,90,A,2Control90,
2H_15,-25.02579868,2397.169919,3/5/14,2,Heated,15,A,2Heated15,
2H_30,-25.63329031,5879.141313,3/5/14,2,Heated,30,A,2Heated30,
2H_50,-24.7849463,9354.79346,3/5/14,2,Heated,50,A,2Heated50,
2H_70,-24.0025624,10012.07224,3/5/14,2,Heated,70,A,2Heated70,
2H_90,-23.9036163,14221.71137,3/5/14,2,Heated,90,A,2Heated90,
3C_15,-26.4949807,4866.128906,3/5/14,3,Control,15,A,3Control15,
3C_30,-25.6965692,11642.78875,3/5/14,3,Control,30,A,3Control30,
3C_50,-27.08591543,11944.26976,3/5/14,3,Control,50,A,3Control50,
3C_70,-26.82220441,12569.10059,3/5/14,3,Control,70,A,3Control70,
3C_90 ,-27.16781047,12155.49556,3/5/14,3,Control,90,A,3Control90,
3H_30,0,14032.77911,3/5/14,3,Heated,30,A,3Heated30,
3H_70,0,19616.43839,3/5/14,3,Heated,70,A,3Heated70,
3H_15,0,5408.044456,3/5/14,3,Heated,15,A,3Heated15,
3H_50,0,18930.38962,3/5/14,3,Heated,50,A,3Heated50,
3H_90,0,16620.46066,3/5/14,3,Heated,90,A,3Heated90,
BL_1C_0_20140421,-9.5,405,4/21/14,1,Control,0,A,1Control0,
BL_1H_0_20140421 ,-9.5,405,4/21/14,1,Heated,0,A,1Heated0,
BL_2C_0_20140421,-9.5,405,4/21/14,2,Control,0,A,2Control0,
BL_2H_0_20140421 ,-9.5,405,4/21/14,2,Heated,0,A,2Heated0,
BL_3C_0_20140421,-9.5,405,4/21/14,3,Control,0,A,3Control0,
BL_3H_0_20140421,-9.5,405,4/21/14,3,Heated,0,A,3Heated0,
BL_1C_15_20140421,-24.23730376,6052.353128,4/21/14,1,Control,15,A,1Control15,
BL_1C_30_20140421,-23.34009886,8419.098908,4/21/14,1,Control,30,A,1Control30,
BL_1C_50_20140421,-24,10117.58706,4/21/14,1,Control,50,A,1Control50,
BL_1C_70_20140421,-24.38726095,8369.3346,4/21/14,1,Control,70,A,1Control70,
BL_1C_90_20140421,-24.59800418,9075.1684,4/21/14,1,Control,90,A,1Control90,
BL_1H_15-20140421 ,-24.13529717,7142.249504,4/21/14,1,Heated,15,A,1Heated15,
BL_1H_30_20140421,-24.2,12754.81807,4/21/14,1,Heated,30,A,1Heated30,
BL_1H_50_20140421,-24.6,9445.794213,4/21/14,1,Heated,50,A,1Heated50,
BL_1H_70_20140421,-23.69687049,8997.4334,4/21/14,1,Heated,70,A,1Heated70,
BL_1H_90_20140421,-23.76370219,7008.75,4/21/14,1,Heated,90,A,1Heated90,
BL_2C_15_20140421,-23.86932285,5582.981696,4/21/14,2,Control,15,A,2Control15,
BL_2C_30_20140421,-24.33388885,6179.640296,4/21/14,2,Control,30,A,2Control30,
BL_2C_50_20140421,-23.77375325,5622.758936,4/21/14,2,Control,50,A,2Control50,
BL_2C_70_20140421,-24.4,13285.84941,4/21/14,2,Control,70,A,2Control70,
BL_2C_70_20140421,-24.7001402,9223.9754,4/21/14,2,Control,90,A,2Control90,
BL_2H_15_20140421,-24.17068445,6537.635456,4/21/14,2,Heated,15,A,2Heated15,
BL_2H_30_20140421b,-24.14210845,7277.49212,4/21/14,2,Heated,30,A,2Heated30,
BL_2H_30_20140421a,-24.19415086,7862.217548,4/21/14,2,Heated,50,A,2Heated50,
BL_2H_70_20140421,-24.2,10721.3736,4/21/14,2,Heated,70,A,2Heated70,
BL_2H_90_20140421,-24.70655025,9690.8296,4/21/14,2,Heated,90,A,2Heated90,
BL_3C_15_20140421,-24.9194104,6227.372984,4/21/14,3,Control,15,A,3Control15,
BL_3C_30_20140421,-24.5,10984.73089,4/21/14,3,Control,30,A,3Control30,
BL_3C_50_20140421,-24.5,12058.71637,4/21/14,3,Control,50,A,3Control50,
BL_3C_70_20140421,-25,13457.2014,4/21/14,3,Control,70,A,3Control70,
BL_3C_90_20140421,-25.1,10747.1372,4/21/14,3,Control,90,A,3Control90,
BL_3H_15_20140421,-23.80569246,5439.783632,4/21/14,3,Heated,15,A,3Heated15,
BL_3H_30_20140421,-23.9,10284.65146,4/21/14,3,Heated,30,A,3Heated30,
BL_3H_50_20140421,-23.7,14242.48684,4/21/14,3,Heated,50,A,3Heated50,
BL_3H_70_20140421,-24,12875.7436,4/21/14,3,Heated,70,A,3Heated70,
BL_3H_90_20140421,-24.3,10199.8828,4/21/14,3,Heated,90,A,3Heated90,
BL_A15_20140421,-23.56633261,4699.926968,4/21/14,Ambient,Ambient,15,,AmbientAmbient15,
BL_A_30_20140421,-23.8914187,7830.395756,4/21/14,Ambient,Ambient,30,,AmbientAmbient30,
BL_A_50_20140421,-24,8012.061813,4/21/14,Ambient,Ambient,50,,AmbientAmbient50,
BL_A_70_20140421,-24.39231511,8693.1564,4/21/14,Ambient,Ambient,70,,AmbientAmbient70,
BL_A_90_20140421,-24.47912697,7874.4958,4/21/14,Ambient,Ambient,90,,AmbientAmbient90,
BL_1C_0_20140421,-9.25,405,5/29/14,1,Control,0,A,1Control0,
BL_1H_0_20140421 ,-9.25,405,5/29/14,1,Heated,0,A,1Heated0,
BL_2C_0_20140421,-9.25,405,5/29/14,2,Control,0,A,2Control0,
BL_2H_0_20140421 ,-9.25,405,5/29/14,2,Heated,0,A,2Heated0,
BL_3C_0_20140421,-9.25,405,5/29/14,3,Control,0,A,3Control0,
BL_3H_0_20140421,-9.25,405,5/29/14,3,Heated,0,A,3Heated0,
BL_1C_15_ 20140529,-23.15462545,7268.338927,5/29/14,1,Control,15,A,1Control15,
BL_1C_30_ 20140529,-23.03189698,9753.585529,5/29/14,1,Control,30,A,1Control30,
BL_1C_50 20140529,-23.52698657,10130.89942,5/29/14,1,Control,50,A,1Control50,
BL_1C_70 20140529,-23.50498303,12729.85621,5/29/14,1,Control,70,A,1Control70,
BL_1C_90 20140529,-23.47790503,14934.75931,5/29/14,1,Control,90,A,1Control90,
BL_1H_15 20140529,-23.50394189,6781.358004,5/29/14,1,Heated,15,A,1Heated15,
BL_1H_30 20140529,-23.60089956,7581.005641,5/29/14,1,Heated,30,A,1Heated30,
BL_1H_50 20140529,-23.47396509,7832.418792,5/29/14,1,Heated,50,A,1Heated50,
BL_1H_70 20140529,-23.2765998,12130.15576,5/29/14,1,Heated,70,A,1Heated70,
BL_1H_90 20140529,-23.37362977,15261.65992,5/29/14,1,Heated,90,A,1Heated90,
BL_2C_15 20140529,-23.04562025,4239.541254,5/29/14,2,Control,15,A,2Control15,
BL_2C_30 20140529,-23.30095501,6269.861903,5/29/14,2,Control,30,A,2Control30,
BL_2C_50 20140529,-23.04630184,3655.489071,5/29/14,2,Control,50,A,2Control50,
BL_2C_70 20140529,-23.62666394,14585.26043,5/29/14,2,Control,70,A,2Control70,
BL_2C_90 20140529,-23.92559952,18387.24522,5/29/14,2,Control,90,A,2Control90,
BL_2H_15 20140529,-23.06132027,4265.185297,5/29/14,2,Heated,15,A,2Heated15,
BL_2H_30 20140529,-23.76625485,8922.527064,5/29/14,2,Heated,30,A,2Heated30,
BL_2H_50 20140529,-23.85595699,12845.35226,5/29/14,2,Heated,50,A,2Heated50,
BL_2H_70 20140529,-23.84688528,17476.07434,5/29/14,2,Heated,70,A,2Heated70,
BL_2H_90 20140529,-23.95171703,18655.80209,5/29/14,2,Heated,90,A,2Heated90,
BL_3C_15 20140529,-23.64760194,8135.312616,5/29/14,3,Control,15,A,3Control15,
BL_3C_30 20140529,-23.80089568,14080.29479,5/29/14,3,Control,30,A,3Control30,
BL_3C_50 20140529,-23.9481105,18639.45445,5/29/14,3,Control,50,A,3Control50,
BL_3C_70 20140529,-23.83236145,26129.52908,5/29/14,3,Control,70,A,3Control70,
BL_3C_90 20140529,-24.10960994,30676.50958,5/29/14,3,Control,90,A,3Control90,
BL_3H_15 20140529,-23.62780459,6623.080988,5/29/14,3,Heated,15,A,3Heated15,
BL_3H_30 20140529,-24.21858663,13158.75754,5/29/14,3,Heated,30,A,3Heated30,
BL_3H50 20140529,-24.15707201,20446.67642,5/29/14,3,Heated,50,A,3Heated50,
BL_3H_70 20140529,-24.34475885,23569.52005,5/29/14,3,Heated,70,A,3Heated70,
BL_3H_90 20140529,-24.23156316,26394.6569,5/29/14,3,Heated,90,A,3Heated90,
BL_A_15_20140529,-23.30943181,4746.846322,5/29/14,Ambient,Ambient,15,,AmbientAmbient15,
BL_A_30_20140529,-23.38929601,8874.547828,5/29/14,Ambient,Ambient,30,,AmbientAmbient30,
BL_A_50_20140529,-23.31929033,8761.269578,5/29/14,Ambient,Ambient,50,,AmbientAmbient50,
BL_A_70_20140529,-23.711,14393.49909,5/29/14,Ambient,Ambient,70,,AmbientAmbient70,
BL_A_90_20140529,-23.744,19802.72913,5/29/14,Ambient,Ambient,90,,AmbientAmbient90,
BL_1C_0_20140305,-12,401,6/24/14,1,Control,0,A,1Control0,
BL_1H_0_20140305,-12,401,6/24/14,1,Heated,0,A,1Heated0,
BL_2C_0_20140305,-12,401,6/24/14,2,Control,0,A,2Control0,
BL_2H_0_20140305,-12,401,6/24/14,2,Heated,0,A,2Heated0,
BL_3C_0_20140305,-12,401,6/24/14,3,Control,0,A,3Control0,
BL_3H_0_20140305,-12,401,6/24/14,3,Heated,0,A,3Heated0,
BL_1C_15 20140624,-24.09838609,5119.385982,6/24/14,1,Control,15,A,1Control15,
BL_1C_30 20140624,-24.06982958,6408.965402,6/24/14,1,Control,30,A,1Control30,
BL_1C_50 20140624,-23.76883936,7618.04787,6/24/14,1,Control,50,A,1Control50,
BL_1C_70 20140624,-23.22884962,8937.668336,6/24/14,1,Control,70,A,1Control70,
BL_1C_90 20140624,-23.38164615,10386.05972,6/24/14,1,Control,90,A,1Control90,
BL_1H_15 20140624,-23.99435296,5129.848276,6/24/14,1,Heated,15,A,1Heated15,
BL_1H_30 20140624,-23.94448026,5306.944502,6/24/14,1,Heated,30,A,1Heated30,
BL_1H_50 20140624,-23.59360876,8325.75069,6/24/14,1,Heated,50,A,1Heated50,
BL_1H_70 20140624,-23.54207925,9632.616913,6/24/14,1,Heated,70,A,1Heated70,
BL_1H_90 20140624,-23.22472569,11864.45181,6/24/14,1,Heated,90,A,1Heated90,
BL_2C_15 20140624,-23.41068577,3391.706738,6/24/14,2,Control,15,A,2Control15,
BL_2C_30 20140624,-23.9567322,5056.329854,6/24/14,2,Control,30,A,2Control30,
BL_2C_50 20140624,-24.08773356,5529.758713,6/24/14,2,Control,50,A,2Control50,
BL_2C_70 20140624,-23.68459046,10037.5073,6/24/14,2,Control,70,A,2Control70,
BL_2C_90 20140624,-23.61033707,13646.81882,6/24/14,2,Control,90,A,2Control90,
BL_2H_15 20140624,-23.3116382,2962.782047,6/24/14,2,Heated,15,A,2Heated15,
BL_2H_30 20140624,-23.91375035,4666.159287,6/24/14,2,Heated,30,A,2Heated30,
BL_2H_50 20140624,-23.23381943,7455.788811,6/24/14,2,Heated,50,A,2Heated50,
BL2H_70 20140624,-23.28567183,9543.520565,6/24/14,2,Heated,70,A,2Heated70,
BL_2H_90 20140624,-23.28776682,11135.23033,6/24/14,2,Heated,90,A,2Heated90,
