Date,yrmo,Shimadzu,Sample,Plot,Treatment,Depth,Dilution,Dilution2,TC,IC,CorrTC,CorrIC,TOC.mg.L,TDN.mg.L
3/6/14,6-Mar,LBL,1C s,1,Control,30,4.36:6.03,1.383027523,9.117,0.2619,12.60906193,0.362214908,12.24684702,
3/6/14,6-Mar,LBL,1C d,1,Control,70,0,1,6.492,1.983,6.492,1.983,4.509,
3/6/14,6-Mar,LBL,2C d,2,Control,70,0,1,4.107,2.443,4.107,2.443,1.664,
3/6/14,6-Mar,LBL,3C s,3,Control,30,0,1,8.619,0.5671,8.619,0.5671,8.0519,
3/6/14,6-Mar,LBL,3C d,3,Control,70,0,1,4.944,2.866,4.944,2.866,2.078,
3/6/14,6-Mar,LBL,1H s,1,Heated,30,2.0:10.5,5.25,7.927,0.09501,41.61675,0.4988025,41.1179475,
3/6/14,6-Mar,LBL,1H d,1,Heated,70,0,1,7.777,1.56,7.777,1.56,6.217,
3/6/14,6-Mar,LBL,2H s,2,Heated,30,0,1,7.835,1.391,7.835,1.391,6.444,
3/6/14,6-Mar,LBL,2H d,2,Heated,70,0,1,5.969,2.098,5.969,2.098,3.871,
3/6/14,6-Mar,LBL,3H s,3,Heated,30,0,1,16.18,2.146,16.18,2.146,14.034,
3/6/14,6-Mar,LBL,3H d,3,Heated,70,0,1,4.164,1.337,4.164,1.337,2.827,
4/8/14,8-Apr,LBL,14,1,Control,30,,1,6.159,0.2679,6.159,0.2679,5.8911,
4/8/14,8-Apr,LBL,16,1,Control,70,,1,3.613,0.2368,3.613,0.2368,3.3762,
4/8/14,8-Apr,LBL,18,2,Control,30,,1,5.986,0.2221,5.986,0.2221,5.7639,
4/8/14,8-Apr,LBL,20,2,Control,70,,1,2.826,0.3173,2.826,0.3173,2.5087,
4/8/14,8-Apr,LBL,22,3,Control,30,,1,7.763,0.3395,7.763,0.3395,7.4235,
4/8/14,8-Apr,LBL,24,3,Control,70,,1,3.867,0.1926,3.867,0.1926,3.6744,
4/8/14,8-Apr,LBL,13,1,Heated,30,5:10,3,13.26,0.1929,39.78,0.5787,39.2013,
4/8/14,8-Apr,LBL,15,1,Heated,70,,1,5.414,0.3647,5.414,0.3647,5.0493,
4/8/14,8-Apr,LBL,17,2,Heated,30,,1,6.599,0.2259,6.599,0.2259,6.3731,
4/8/14,8-Apr,LBL,19,2,Heated,70,,1,5.599,0.3928,5.599,0.3928,5.2062,
4/8/14,8-Apr,LBL,21,3,Heated,30,,1,8.877,0.2337,8.877,0.2337,8.6433,
4/8/14,8-Apr,LBL,23,3,Heated,70,,1,2.279,0.2178,2.279,0.2178,2.0612,
4/22/14,22-Apr,LBL,49,2,Control,70,,1,2.76,0.2365,2.76,0.2365,2.5235,
4/22/14,22-Apr,LBL,51,3,Control,70,,1,3.891,0.4222,3.891,0.4222,3.4688,
4/22/14,22-Apr,LBL,50,3,Heated,70,,1,2.223,0.2646,2.223,0.2646,1.9584,
4/29/14,29-Apr,LBL,26,1,Control,30,,1,5.776,0.2482,5.776,0.2482,5.5278,
4/29/14,29-Apr,LBL,28,1,Control,70,,1,3.421,0.2632,3.421,0.2632,3.1578,
4/29/14,29-Apr,LBL,30,2,Control,30,5:10,3,3.51,0.2118,10.53,0.6354,9.8946,
4/29/14,29-Apr,LBL,32,2,Control,70,,1,3.092,0.4617,3.092,0.4617,2.6303,
4/29/14,29-Apr,LBL,34,3,Control,30,5:10,3,3.885,0.2369,11.655,0.7107,10.9443,
4/29/14,29-Apr,LBL,36,3,Control,70,,1,3.507,0.2112,3.507,0.2112,3.2958,
4/29/14,29-Apr,LBL,25,1,Heated,30,2.2:13,6.818181818,6.36,0.2011,43.36363636,1.371136364,41.9925,
4/29/14,29-Apr,LBL,27,1,Heated,70,,1,3.671,0.2388,3.671,0.2388,3.4322,
4/29/14,29-Apr,LBL,29,2,Heated,30,,1,6.318,0.2971,6.318,0.2971,6.0209,
4/29/14,29-Apr,LBL,31,2,Heated,70,,1,5.226,0.2138,5.226,0.2138,5.0122,
4/29/14,29-Apr,LBL,33,3,Heated,30,,1,11.46,0.2574,11.46,0.2574,11.2026,
4/29/14,29-Apr,LBL,35,3,Heated,70,,1,2.812,0.3066,2.812,0.3066,2.5054,
5/23/14,23-May,LBL,38,1,Control,30,,1,6.225,0.2145,6.225,0.2145,6.0105,
5/23/14,23-May,LBL,42,2,Control,30,,1,158.4,0.4831,158.4,0.4831,157.9169,
5/23/14,23-May,LBL,44,2,Control,70,,1,3.45,0.2516,3.45,0.2516,3.1984,
5/23/14,23-May,LBL,46,3,Control,30,,1,7.1,0.2734,7.1,0.2734,6.8266,
5/23/14,23-May,LBL,48,3,Control,70,,1,4.34,0.5951,4.34,0.5951,3.7449,
5/23/14,23-May,LBL,39,1,Heated,70,1.67:13.5,9.083832335,2.996,0.204,27.21516168,1.853101796,25.36205988,
5/23/14,23-May,LBL,41,2,Heated,30,,1,5.731,0.2511,5.731,0.2511,5.4799,
5/23/14,23-May,LBL,43,2,Heated,70,5:10,3,5.68,0.2003,17.04,0.6009,16.4391,
5/23/14,23-May,LBL,45,3,Heated,30,,1,12.55,0.2648,12.55,0.2648,12.2852,
5/23/14,23-May,LBL,47,3,Heated,70,,1,2.61,0.2253,2.61,0.2253,2.3847,
2/11/15,11-Feb,LBL,53,1,Control,30,0,1,3.551758,11.006151,3.551758,11.006151,7.454393,
2/11/15,11-Feb,LBL,55,1,Control,70,0,1,0.841576,4.516524667,0.841576,4.516524667,3.674948667,
2/11/15,11-Feb,LBL,57,2,Control,30,0,1,1.11269,4.410678667,1.11269,4.410678667,3.297988667,
2/11/15,11-Feb,LBL,59,2,Control,70,0,1,1.029344,3.745748667,1.029344,3.745748667,2.716404667,
2/11/15,11-Feb,LBL,61,3,Control,70,0,1,1.805324,4.232911667,1.805324,4.232911667,2.427587667,
2/11/15,11-Feb,LBL,52,1,Heated,30,16.7,6.060606061,0,0.727317025,0,4.40798197,4.40798197,
2/11/15,11-Feb,LBL,54,1,Heated,70,15,4,0,4.902365,0,19.60946,19.60946,
2/11/15,11-Feb,LBL,56,2,Heated,30,0,1,1.07437,5.373696333,1.07437,5.373696333,4.299326333,
2/11/15,11-Feb,LBL,58,2,Heated,70,3,1.176470588,0.168581,10.878593,0.198330588,12.79834471,12.60001412,
2/11/15,11-Feb,LBL,60,3,Heated,70,0,1,0.4077936,1.996575667,0.4077936,1.996575667,1.588782067,
4/14/15,14-Apr,LBL,62,3,Control,70,0,1,0.873669,3.359003667,0.873669,3.359003667,2.485334667,
4/28/15,28-Apr,LBL,63,1,Control,30,3.5,1.212121212,2.207684,7.808154333,2.675980606,9.464429495,6.788448889,
4/28/15,28-Apr,LBL,65,2,Control,30,6.5,1.481481481,0.2808586,4.283573,0.416086815,6.346034074,5.929947259,
4/28/15,28-Apr,LBL,67,3,Control,30,0,1,1.138556,8.516508333,1.138556,8.516508333,7.377952333,
4/28/15,28-Apr,LBL,68,3,Control,70,0,1,1.591211,3.731274,1.591211,3.731274,2.140063,
4/28/15,28-Apr,LBL,64,2,Heated,30,0,1,0.102,14.32673,0.102,14.32673,14.22473,
4/28/15,28-Apr,LBL,66,3,Heated,30,14.3,3.50877193,0.260549,5.714755667,0.914207018,20.05177427,19.13756725,
11/17/15,17-Nov,LBL,69,1,Control,30,,1.123595506,8.564842,2.067,9.623417978,2.32247191,7.300946067,
11/17/15,17-Nov,LBL,70,2,Control,30,,1.611603546,4.721278,0.514,7.608828364,0.828364222,6.780464142,
11/17/15,17-Nov,LBL,73,3,Control,70,,0.988142292,3.747024,2.908,3.702592885,2.873517787,0.829075099,
11/17/15,17-Nov,LBL,72,2,Heated,30,,0.983284169,5.372496,1.088,5.282690265,1.069813176,4.212877089,
11/17/15,17-Nov,LBL,71,2,Heated,70,,8.474576271,NA,-0.02062,NA,NA,NA,
11/17/15,17-Nov,LBL,74,3,Heated,30,,7.722007722,1.777102,0.02412,13.72279537,0.186254826,13.53654054,
12/8/15,8-Dec,LBL,75,1,Control,30,,1.25,5.344774,1.947,6.6809675,2.43375,4.2472175,
12/8/15,8-Dec,LBL,76,2,Control,30,,3.129890454,1.410574,0.2332,4.414942097,0.729890454,3.685051643,
12/8/15,8-Dec,LBL,79,3,Control,30,,9.009009009,1.002214,0.07337,9.028954955,0.660990991,8.367963964,
12/8/15,8-Dec,LBL,78,3,Control,70,,0.97703957,4.903712,3.309,4.791120664,3.233023937,1.558096727,
12/8/15,8-Dec,LBL,77,2,Heated,30,,0.987654321,4.700362,1.204,4.64233284,1.189135802,3.453197037,
12/8/15,8-Dec,LBL,80,3,Heated,30,,3.738317757,4.530046,0.2032,16.9347514,0.759626168,16.17512523,
12/23/15,23-Dec,LBL,82,1,Control,30,,0.983767831,5.975009,2.759,5.878021643,2.714215445,3.163806198,
12/23/15,23-Dec,LBL,81,1,Control,70,,1.913875598,3.7347515,0.2112,7.147849761,0.404210526,6.743639234,
12/23/15,23-Dec,LBL,85,2,Control,30,,0.990589401,3.326012,0.9975,3.294712234,0.988112927,2.306599307,
12/23/15,23-Dec,LBL,84,2,Control,70,,0.994035785,4.898141,1.041,4.868927435,1.034791252,3.834136183,
12/23/15,23-Dec,LBL,89,3,Control,30,,2.604166667,2.610323,0.04095,6.797716146,0.106640625,6.691075521,
12/23/15,23-Dec,LBL,88,3,Control,70,,0.982800983,2.926223,1.751,2.87589484,1.720884521,1.155010319,
12/23/15,23-Dec,LBL,83,1,Heated,70,,5.865102639,1.824785,-0.09407,10.70255132,-0.551730205,11.25428152,
12/23/15,23-Dec,LBL,87,2,Heated,30,,0.983767831,4.1496335,1.145,4.082275947,1.126414166,2.955861781,
12/23/15,23-Dec,LBL,86,2,Heated,70,,5.18134715,2.308463,-0.09934,11.96094819,-0.514715026,12.47566321,
12/23/15,23-Dec,LBL,91,3,Heated,30,,1.210653753,14.56433,0.6097,17.63236077,0.738135593,16.89422518,
12/23/15,23-Dec,LBL,90,3,Heated,70,,0.983284169,1.885859,0.3815,1.8543353,0.375122911,1.479212389,
1/13/16,13-Jan,LBL,93,1,Control,30,,0.986193294,6.917292,2.759,6.821786982,2.720907298,4.100879684,
1/13/16,13-Jan,LBL,92,1,Control,70,,2.877697842,1.313132,0.215,3.778797122,0.618705036,3.160092086,
1/13/16,13-Jan,LBL,95,2,Control,30,,0.993048659,2.860584,1.154,2.840699106,1.145978153,1.694720953,
1/13/16,13-Jan,LBL,94,2,Control,70,,0.956480153,3.913356,0.8158,3.743047346,0.780296509,2.962750837,
1/13/16,13-Jan,LBL,98,3,Control,70,,0.964785335,1.99174,1.59,1.921601544,1.534008683,0.387592861,
1/13/16,13-Jan,LBL,97,2,Heated,30,,0.954198473,4.97476,1.556,4.746908397,1.484732824,3.262175573,
1/13/16,13-Jan,LBL,96,2,Heated,70,,5.66572238,1.427506,0.03466,8.087852691,0.196373938,7.891478754,
1/13/16,13-Jan,LBL,99,3,Heated,70,,0.993541977,1.273624,0.8962,1.265398907,0.89041232,0.374986587,
1/28/16,28-Jan,LBL,101,1,Control,30,,0.980872977,5.277876,2.169,5.176925944,2.127513487,3.049412457,
1/28/16,28-Jan,LBL,100,1,Control,70,,2.212389381,3.020608,0.3649,6.682761062,0.807300885,5.875460177,
1/28/16,28-Jan,LBL,104,2,Control,30,,0.981836033,4.201864,1.323,4.125541483,1.298969072,2.82657241,
1/28/16,28-Jan,LBL,103,2,Control,70,,0.993048659,2.838008,1.044,2.81828004,1.0367428,1.781537239,
1/28/16,28-Jan,LBL,108,3,Control,30,,0.961538462,7.239996,1.257,6.961534615,1.208653846,5.752880769,
1/28/16,28-Jan,LBL,107,3,Control,70,,0.985707245,3.100319,2.154,3.0560069,2.123213406,0.932793494,
1/28/16,28-Jan,LBL,102,1,Heated,70,,5.681818182,1.69958,0.102,9.656704545,0.579545455,9.077159091,
1/28/16,28-Jan,LBL,106,2,Heated,30,,0.992555831,5.516086,1.808,5.475023325,1.794540943,3.680482382,
1/28/16,28-Jan,LBL,105,2,Heated,70,,2.051282051,5.48521,0.4427,11.25171282,0.908102564,10.34361026,
1/28/16,28-Jan,LBL,109,3,Heated,70,,0.987654321,1.403104,1.067,1.385781728,1.05382716,0.331954568,
2/25/16,25-Feb,LBL,111,1,Control,30,,2.4600246,1.679328,0.3312,4.131188192,0.814760148,3.316428044,
2/25/16,25-Feb,LBL,110,1,Control,70,,0.959692898,6.457472,2.971,6.197190019,2.851247601,3.345942418,
2/25/16,25-Feb,LBL,114,2,Control,30,,0.980392157,3.53222,1.348,3.462960784,1.321568627,2.141392157,
2/25/16,25-Feb,LBL,113,2,Control,70,,0.954198473,2.515138,0.917,2.39994084,0.875,1.52494084,
2/25/16,25-Feb,LBL,117,3,Control,30,,1.417434444,5.15155,0.9422,7.301984408,1.335506733,5.966477675,
2/25/16,25-Feb,LBL,116,3,Control,70,,0.952834683,2.74372,2.102,2.614311577,2.002858504,0.611453073,
2/25/16,25-Feb,LBL,112,1,Heated,30,,2.721088435,1.576906,0.3608,4.29090068,0.981768707,3.309131973,
2/25/16,25-Feb,LBL,115,2,Heated,30,,0.990589401,5.132128,1.91,5.0838316,1.892025755,3.191805844,
2/25/16,25-Feb,LBL,118,3,Heated,70,,0.968992248,1.627702,0.6753,1.57723062,0.654360465,0.922870155,
3/16/16,16-Mar,LBL,120,1,Control,30,,0.971345313,5.775544,3.15,5.610047596,3.059737737,2.550309859,
3/16/16,16-Mar,LBL,119,1,Control,70,,1.785714286,1.758178,0.6137,3.139603571,1.095892857,2.043710714,
3/16/16,16-Mar,LBL,123,2,Control,30,,0.986193294,2.527256,1.242,2.492362919,1.224852071,1.267510848,
3/16/16,16-Mar,LBL,122,2,Control,70,,0.996015936,3.033224,1.354,3.021139442,1.348605578,1.672533865,
3/16/16,16-Mar,LBL,126,3,Control,30,,1.846722068,3.29401,0.4851,6.08312096,0.895844875,5.187276085,
3/16/16,16-Mar,LBL,125,3,Control,70,,0.986679822,3.0392,2.616,2.998717316,2.581154415,0.417562901,
3/16/16,16-Mar,LBL,121,1,Heated,70,,1.31147541,3.151582,1.475,4.133222295,1.93442623,2.198796066,
3/16/16,16-Mar,LBL,124,2,Heated,30,,0.981354269,4.561918,1.674,4.476857704,1.642787046,2.834070658,
3/16/16,16-Mar,LBL,127,3,Heated,70,,0.952834683,1.985764,1.185,1.892104812,1.1291091,0.762995712,
3/23/16,23-Mar,LBL,130,1,Control,30,,1.228501229,4.555776,0.9252,5.596776413,1.136609337,4.460167076,
3/23/16,23-Mar,LBL,129,1,Control,70,,0.989609104,5.600746,3.502,5.542549233,3.465611084,2.076938149,
3/23/16,23-Mar,LBL,132,2,Control,30,,0.994035785,4.320388,1.557,4.294620278,1.547713718,2.746906561,
3/23/16,23-Mar,LBL,131,2,Control,70,,0.992063492,2.520616,1.648,2.500611111,1.634920635,0.865690476,
3/23/16,23-Mar,LBL,135,3,Control,30,,2.989536622,2.106989,-0.01698,6.298920777,-0.050762332,6.349683109,
3/23/16,23-Mar,LBL,134,3,Control,70,,0.994530085,3.822677,2.522,3.80176728,2.508204873,1.293562407,
3/23/16,23-Mar,LBL,128,1,Heated,70,,1.470588235,3.302974,0.8336,4.857314706,1.225882353,3.631432353,
3/23/16,23-Mar,LBL,133,2,Heated,30,,0.984251969,4.311424,1.822,4.243527559,1.793307087,2.450220472,
3/23/16,23-Mar,LBL,137,3,Heated,30,,0.995024876,9.3840965,1.119,9.337409453,1.113432836,8.223976617,
3/23/16,23-Mar,LBL,136,3,Heated,70,,0.960614793,2.045915,0.4246,1.965336215,0.407877041,1.557459174,
11/17/17,17-Nov,Ecocore,138,1,Control,30,,0.333333333,,,,,2.9458,0.7395
11/17/17,17-Nov,Ecocore,139,1,Control,70,,0.333333333,,,,,3.8294,0.6867
11/17/17,17-Nov,Ecocore,140,1,Heated,70,,0.333333333,,,,,5.575,0.7803
11/17/17,17-Nov,Ecocore,141,2,Control,30,,0.333333333,,,,,3.2802,0.5643
11/17/17,17-Nov,Ecocore,142,2,Control,70,,0.333333333,,,,,2.7042,0.7391
11/17/17,17-Nov,Ecocore,143,2,Heated,30,,0.333333333,,,,,2.6178,0.7091
11/17/17,17-Nov,Ecocore,144,2,Heated,70,,0.333333333,,,,,5.823,0.6807
11/17/17,17-Nov,Ecocore,145,3,Control,30,,0.333333333,,,,,12.611,1.0031
11/17/17,17-Nov,Ecocore,146,3,Control,70,,0.333333333,,,,,2.0086,0.5447
11/17/17,17-Nov,Ecocore,147,3,Heated,30,,0.333333333,,,,,1.6478,0.7071
11/17/17,17-Nov,Ecocore,148,3,Heated,70,,0.333333333,,,,,7.223,0.7955
11/29/17,29-Nov,Ecocore,149,1,Control,30,,0.333333333,,,,,4.451,0.7519
11/29/17,29-Nov,Ecocore,150,1,Control,70,,0.333333333,,,,,3.653,0.7019
11/29/17,29-Nov,Ecocore,151,1,Heated,70,,0.333333333,,,,,5.663,0.6491
11/29/17,29-Nov,Ecocore,152,2,Control,30,,0.333333333,,,,,3.1542,0.7687
11/29/17,29-Nov,Ecocore,153,2,Control,70,,0.333333333,,,,,2.421,0.5187
11/29/17,29-Nov,Ecocore,154,2,Heated,30,,0.333333333,,,,,2.9958,0.5791
11/29/17,29-Nov,Ecocore,155,2,Heated,70,,0.333333333,,,,,5.347,0.5375
11/29/17,29-Nov,Ecocore,156,3,Control,30,,0.333333333,,,,,10.463,0.8335
11/29/17,29-Nov,Ecocore,157,3,Control,70,,0.333333333,,,,,1.737,0.5303
11/29/17,29-Nov,Ecocore,158,3,Heated,30,,0.333333333,,,,,8.131,1.0063
11/29/17,29-Nov,Ecocore,159,3,Heated,70,,0.333333333,,,,,1.5026,0.5643
1/12/18,12-Jan,Ecocore,160,1,Control,30,,0.333333333,,,,,3.4726,0.5327
1/12/18,12-Jan,Ecocore,161,1,Control,70,,0.333333333,,,,,2.7894,0.5523
1/12/18,12-Jan,Ecocore,162,1,Heated,70,,0.333333333,,,,,6.159,0.5931
1/12/18,12-Jan,Ecocore,163,2,Control,30,,0.333333333,,,,,2.0382,0.6435
1/12/18,12-Jan,Ecocore,164,2,Control,70,,0.333333333,,,,,2.7798,0.5623
1/12/18,12-Jan,Ecocore,165,2,Heated,30,,0.333333333,,,,,4.819,0.5767
1/12/18,12-Jan,Ecocore,166,2,Heated,70,,0.333333333,,,,,5.003,0.5299
1/12/18,12-Jan,Ecocore,167,3,Control,30,,0.333333333,,,,,6.903,0.5407
1/12/18,12-Jan,Ecocore,168,3,Control,70,,0.333333333,,,,,2.057,0.5671
1/12/18,12-Jan,Ecocore,169,3,Heated,30,,0.333333333,,,,,4.659,0.7359
1/12/18,12-Jan,Ecocore,170,3,Heated,70,,0.333333333,,,,,1.3814,0.4571
1/24/18,24-Jan,Ecocore,171,1,Control,30,,0.333333333,,,,,3.873,0.4571
1/24/18,24-Jan,Ecocore,172,1,Control,70,,0.333333333,,,,,4.067,0.5099
1/24/18,24-Jan,Ecocore,173,1,Heated,70,,0.333333333,,,,,4.655,0.5407
1/24/18,24-Jan,Ecocore,174,2,Control,30,,0.333333333,,,,,2.3798,0.6319
1/24/18,24-Jan,Ecocore,175,2,Control,70,,0.333333333,,,,,2.041,0.5191
1/24/18,24-Jan,Ecocore,176,2,Heated,30,,0.333333333,,,,,2.7678,0.5687
1/24/18,24-Jan,Ecocore,177,2,Heated,70,,0.333333333,,,,,5.323,0.5783
1/24/18,24-Jan,Ecocore,178,3,Control,30,,0.333333333,,,,,4.951,0.4707
1/24/18,24-Jan,Ecocore,179,3,Control,70,,0.333333333,,,,,1.7218,0.5311
1/24/18,24-Jan,Ecocore,180,3,Heated,30,,0.333333333,,,,,4.899,0.5239
1/24/18,24-Jan,Ecocore,181,3,Heated,70,,0.333333333,,,,,1.6726,0.4571
4/10/18,10-Apr,Ecocore,182,1,Control,30,,0.333333333,,,,,2.4134,0.4955
4/10/18,10-Apr,Ecocore,183,1,Control,70,,0.333333333,,,,,2.4326,0.4571
4/10/18,10-Apr,Ecocore,184,1,Heated,70,,0.333333333,,,,,5.975,0.8023
4/10/18,10-Apr,Ecocore,185,2,Control,30,,0.333333333,,,,,1.8262,0.4571
