Pit,BD_gC_cm3,Layer_Top,Layer_Bottom,Depth,MatchDepth
Pit1,0.776150227,0,13,6.5,0
Pit1,0.776150227,0,13,6.5,5
Pit1,1.20110009,13,38,25.5,15
Pit1,1.20110009,13,38,25.5,25
Pit1,1.20110009,13,38,25.5,35
Pit1,1.368953983,38,54,46,45
Pit1,1.368612106,54,75,64.5,55
Pit1,1.368612106,54,75,64.5,65
Pit1,1.93117561,75,100,87.5,75
Pit1,1.93117561,75,100,87.5,85
Pit1,1.93117561,75,100,87.5,95
Pit2,0.936009506,0,8,4,0
Pit2,0.936009506,0,8,4,5
Pit2,1.071526855,8,20,14,15
Pit2,1.283389003,20,38,29,25
Pit2,1.283389003,20,38,29,35
Pit2,1.380242676,38,55,46.5,45
Pit2,1.380242676,38,55,46.5,55
Pit2,1.50695986,55,72,63.5,65
Pit2,1.577772134,72,100,86,75
Pit2,1.577772134,72,100,86,85
Pit2,1.577772134,72,100,86,95
Pit3,0.522956279,0,10,5,0
Pit3,0.522956279,0,10,5,5
Pit3,0.947279476,10,18.5,14.25,15
Pit3,1.076136796,18.5,38,28.25,25
Pit3,1.076136796,18.5,38,28.25,35
Pit3,1.228098011,38,56,47,45
Pit3,1.228098011,38,56,47,55
Pit3,1.471415405,56,81,68.5,65
Pit3,1.471415405,56,81,68.5,75
Pit3,1.210532952,81,100,90.5,85
Pit3,1.210532952,81,100,90.5,95
