Mid Depth,g C/m2
2.5,3864.068172
7.5,2596.442547
11.5,993.906158
16.5,2237.571637
25,2398.906764
35,1516.14496
45,1015.88843
55,964.5723758
65,425.0129093
75,549.8221785
85,799.062532
95,793.6378597
4,5679.275116
9,917.3103523
15,3627.832039
25,2319.512905
35,1268.67214
45,780.4623619
55,622.9991196
65,439.3857933
75,384.3821674
85,377.4157166
95,354.486743
5,5099.013555
15,2283.546812
25,1949.157076
35,1207.380308
45,912.2312025
55,663.9795905
65,421.4236719
75,724.7162295
85,513.7606283
95,1004.804304
