site_name,cluster_name,profile_name,layer_name,gas_name,gas_number,labeled_addition,gas_type,gas_note,gas_time_series,c_method,collection_method,collection_loc,15n,rc_lab,rc_lab_number,rc_year,c_conc_CO2,13c_CO2,14c_CO2,14c_CO2_sigma,14c_age_CO2,14c_age_CO2_sigma,fraction_modern_CO2,fraction_modern_CO2_sigma,c_conc_CH4,13c_CH4,14c_CH4,14c_CH4_sigma,14c_age_CH4,14c_age_CH4_sigma,fraction_modern_CH4,fraction_modern_CH4_sigma
Site Name,Cluster Name,Profile/Plot Name,Layer Name,Gas Sample Name,Laboratory Gas Sample Number,Labeled Addition,Gas Type,Gas Sample Notes,Gas Time Series Name,Gas Carbon Analysis Method,Gas Sample Collection Method,Field Vs. Incubation,Gas _15N,Radiocarbon Laboratory ID,Radiocarbon Laboratory Sample Number,Radiocarbon Analysis Year,CO2 Concentration,Gas _13C (C02),Gas _14C (C02),Gas _14C Standard Deviation (CO2),Gas Uncalibrated Radiocarbon Age (CO2),Gas Uncalibrated Radiocarbon Age Standard Deviation (CO2),Gas Fraction Modern (CO2),Gas Fraction Modern Standard Deviation (CO2),CH4 Concentration,Gas _13C (CH4),Gas _14C (CH4),Gas _14C Standard Deviation (CH4),Gas Uncalibrated Radiocarbon Age (CH4),Gas Uncalibrated Radiocarbon Age Standard Deviation (CH4),Gas Fraction Modern (CH4),Gas Fraction Modern Standard Deviation (CH4)
,,,cm,,,(label_add),(gas_type),,,,(core_pit),,ä,(rc_lab),,YYYY,ppm,ä,ä,ä,,,,,ppm,ä,ä,ä,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20160120,,,CO2,,1/20/16 16:00,Picarro SSIM,Gas Well,Field,,,,,2724.929152,-24.48238806,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20160120,,,CO2,,1/20/16 16:00,Picarro SSIM,Gas Well,Field,,,,,6559.810519,-24.27238648,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20160120,,,CO2,,1/20/16 16:00,Picarro SSIM,Gas Well,Field,,,,,7341.447436,-23.293,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20160120,,,CO2,,1/20/16 16:00,Picarro SSIM,Gas Well,Field,,,,,7623.381735,-23.758,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20160120,,,CO2,,1/20/16 16:00,Picarro SSIM,Gas Well,Field,,,,,10947.67149,-23.965,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20160120,,,CO2,,1/20/16 16:00,Picarro SSIM,Gas Well,Field,,,,,407,NA,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20150109,,,CO2,,1/9/15 10:30,Picarro SSIM,Gas Well,Field,,,,,400,-11.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20150109,,,CO2,,1/9/15 10:30,Picarro SSIM,Gas Well,Field,,,,,11034.56953,-22.33,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20150109,,,CO2,,1/9/15 10:30,Picarro SSIM,Gas Well,Field,,,,,6123.249946,-22.41,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20150109,,,CO2,,1/9/15 10:30,Picarro SSIM,Gas Well,Field,,,,,7655.02789,-22.47,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20150109,,,CO2,,1/9/15 10:30,Picarro SSIM,Gas Well,Field,,,,,9693.195721,-22.37,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20150109,,,CO2,,1/9/15 10:30,Picarro SSIM,Gas Well,Field,,,,,15134.0237,-23.04,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20151030,,,CO2,,10/30/15 12:30,Picarro SSIM,Gas Well,Field,,,,,2127.251037,-23.63450651,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20151030,,,CO2,,10/30/15 12:30,Picarro SSIM,Gas Well,Field,,,,,3046.559358,-23.27039856,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20151030,,,CO2,,10/30/15 12:30,Picarro SSIM,Gas Well,Field,,,,,4492.184763,-23.01220075,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20151030,,,CO2,,10/30/15 12:30,Picarro SSIM,Gas Well,Field,,,,,6674.811335,-21.8761708,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20151030,,,CO2,,10/30/15 12:30,Picarro SSIM,Gas Well,Field,,,,,7274.319839,-21.25000866,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20151030,,,CO2,,10/30/15 12:30,Picarro SSIM,Gas Well,Field,,,,,403,-11,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20141118,,,CO2,,11/18/14 10:00,Picarro SSIM,Gas Well,Field,,,,,400,-11.75,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL-1C_A_70_20141118,,,CO2,,11/18/14 10:00,Picarro SSIM,Gas Well,Field,,,,,9153.093963,-24.48293901,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL-1C_A_15_20141118,,,CO2,,11/18/14 10:00,Picarro SSIM,Gas Well,Field,,,,,4625.084398,-24.24551366,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL-1C_A_30_20141118,,,CO2,,11/18/14 10:00,Picarro SSIM,Gas Well,Field,,,,,6868.253098,-27.1829847,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL-1C_A_50_20141118,,,CO2,,11/18/14 10:00,Picarro SSIM,Gas Well,Field,,,,,8107.472837,-24.44109304,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL-1C_A_90_20141118,,,CO2,,11/18/14 10:00,Picarro SSIM,Gas Well,Field,,,,,9820.860344,-24.65317993,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20151202,,,CO2,,12/2/15 10:00,Picarro SSIM,Gas Well,Field,,,,,3300.384847,-23.8383734,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20151202,,,CO2,,12/2/15 10:00,Picarro SSIM,Gas Well,Field,,,,,6218.395337,-22.75471595,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20151202,,,CO2,,12/2/15 10:00,Picarro SSIM,Gas Well,Field,,,,,8171.59393,-23.431,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20151202,,,CO2,,12/2/15 10:00,Picarro SSIM,Gas Well,Field,,,,,10427.38417,-23.702,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20151202,,,CO2,,12/2/15 10:00,Picarro SSIM,Gas Well,Field,,,,,10856.53699,-23.733,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20151202,,,CO2,,12/2/15 10:00,Picarro SSIM,Gas Well,Field,,,,,423,-11.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20160210,,,CO2,,2/10/16 13:00,Picarro SSIM,Gas Well,Field,,,,,407,-12.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20160210,,,CO2,,2/10/16 13:00,Picarro SSIM,Gas Well,Field,,,,,11220.70472,NA,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20160210,,,CO2,,2/10/16 13:00,Picarro SSIM,Gas Well,Field,,,,,12038.70724,NA,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20160210,,,CO2,,2/10/16 13:00,Picarro SSIM,Gas Well,Field,,,,,3642.383127,NA,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20160210,,,CO2,,2/10/16 13:00,Picarro SSIM,Gas Well,Field,,,,,7442.747973,NA,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20160210,,,CO2,,2/10/16 13:00,Picarro SSIM,Gas Well,Field,,,,,9381.348556,NA,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20150211,,,CO2,,2/11/15 11:00,Picarro SSIM,Gas Well,Field,,,,,412,-8.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20150211,,,CO2,,2/11/15 11:00,Picarro SSIM,Gas Well,Field,,,,,12048.90218,-23.69720057,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20150211,,,CO2,,2/11/15 11:00,Picarro SSIM,Gas Well,Field,,,,,6020.087927,-24.375,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20150211,,,CO2,,2/11/15 11:00,Picarro SSIM,Gas Well,Field,,,,,8506.152431,-24.48111288,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20150211,,,CO2,,2/11/15 11:00,Picarro SSIM,Gas Well,Field,,,,,10939.19141,-23.88295444,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20150211,,,CO2,,2/11/15 11:00,Picarro SSIM,Gas Well,Field,,,,,13258.42803,-24.229,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20150310,,,CO2,,3/10/15 9:00,Picarro SSIM,Gas Well,Field,,,,,412,-11.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20150310,,,CO2,,3/10/15 9:00,Picarro SSIM,Gas Well,Field,,,,,7883.450519,-24.34081741,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20150310,,,CO2,,3/10/15 9:00,Picarro SSIM,Gas Well,Field,,,,,9736.112627,-23.165,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20150310,,,CO2,,3/10/15 9:00,Picarro SSIM,Gas Well,Field,,,,,11341.5904,-23.499,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20150310,,,CO2,,3/10/15 9:00,Picarro SSIM,Gas Well,Field,,,,,12638.06365,-23.628,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20150310,,,CO2,,3/10/15 9:00,Picarro SSIM,Gas Well,Field,,,,,5888.066914,-22.894,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20140305,,,CO2,,3/5/14 16:30,Picarro SSIM,Gas Well,Field,,,,,405,-9.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,1C_15_20140305,,,CO2,,3/5/14 16:30,Picarro SSIM,Gas Well,Field,,,,,5843.330351,-25.42155,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,1C_30_20140305,,,CO2,,3/5/14 16:30,Picarro SSIM,Gas Well,Field,,,,,9233.202001,-24.99298397,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,1C_90_20140305,,,CO2,,3/5/14 16:30,Picarro SSIM,Gas Well,Field,,,,,9759.865677,-23.76558889,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,1C_50_20140305,,,CO2,,3/5/14 16:30,Picarro SSIM,Gas Well,Field,,,,,10592.00088,-24.16566333,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,1C_70_20140305,,,CO2,,3/5/14 16:30,Picarro SSIM,Gas Well,Field,,,,,9007.673995,-23.78944982,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20150414,,,CO2,,4/14/15 9:30,Picarro SSIM,Gas Well,Field,,,,,410,-11.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20150414,,,CO2,,4/14/15 9:30,Picarro SSIM,Gas Well,Field,,,,,7969.924913,-23.85675198,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20150414,,,CO2,,4/14/15 9:30,Picarro SSIM,Gas Well,Field,,,,,4878.083303,-22.83,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20150414,,,CO2,,4/14/15 9:30,Picarro SSIM,Gas Well,Field,,,,,9318.082523,-23.66,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20150414,,,CO2,,4/14/15 9:30,Picarro SSIM,Gas Well,Field,,,,,10042.36744,-23.572,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20150414,,,CO2,,4/14/15 9:30,Picarro SSIM,Gas Well,Field,,,,,11409.00593,-23.508,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20140421,,,CO2,,4/21/14 16:00,Picarro SSIM,Gas Well,Field,,,,,8369.3346,-24.38726095,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20140421,,,CO2,,4/21/14 16:00,Picarro SSIM,Gas Well,Field,,,,,6052.353128,-24.23730376,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20140421,,,CO2,,4/21/14 16:00,Picarro SSIM,Gas Well,Field,,,,,8419.098908,-23.34009886,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20140421,,,CO2,,4/21/14 16:00,Picarro SSIM,Gas Well,Field,,,,,405,-9.5,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20140421,,,CO2,,4/21/14 16:00,Picarro SSIM,Gas Well,Field,,,,,9075.1684,-24.59800418,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20140421,,,CO2,,4/21/14 16:00,Picarro SSIM,Gas Well,Field,,,,,10117.58706,-24,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20150512,,,CO2,,5/12/15 9:00,Picarro SSIM,Gas Well,Field,,,,,406,-11,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_05122015,,,CO2,,5/12/15 9:00,Picarro SSIM,Gas Well,Field,,,,,15563.60983,-24.26566537,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_05122015,,,CO2,,5/12/15 9:00,Picarro SSIM,Gas Well,Field,,,,,9513.723912,-24.22236102,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_05122015,,,CO2,,5/12/15 9:00,Picarro SSIM,Gas Well,Field,,,,,8265.241668,-24.1520165,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_05122015,,,CO2,,5/12/15 9:00,Picarro SSIM,Gas Well,Field,,,,,4572.017927,-23.70562128,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_05122015,,,CO2,,5/12/15 9:00,Picarro SSIM,Gas Well,Field,,,,,12713.09725,-24.18405396,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50 20140529,,,CO2,,5/29/14 17:00,Picarro SSIM,Gas Well,Field,,,,,10130.89942,-23.52698657,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70 20140529,,,CO2,,5/29/14 17:00,Picarro SSIM,Gas Well,Field,,,,,12729.85621,-23.50498303,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20140421,,,CO2,,5/29/14 17:00,Picarro SSIM,Gas Well,Field,,,,,405,-9.25,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_ 20140529,,,CO2,,5/29/14 17:00,Picarro SSIM,Gas Well,Field,,,,,7268.338927,-23.15462545,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_ 20140529,,,CO2,,5/29/14 17:00,Picarro SSIM,Gas Well,Field,,,,,9753.585529,-23.03189698,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90 20140529,,,CO2,,5/29/14 17:00,Picarro SSIM,Gas Well,Field,,,,,14934.75931,-23.47790503,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50_20120611,,,CO2,,6/11/15 14:30,Picarro SSIM,Gas Well,Field,,,,,9830.657285,-22.79128458,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,70,BL_1C_70_20120611,,,CO2,,6/11/15 14:30,Picarro SSIM,Gas Well,Field,,,,,11423.49768,-22.33669957,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,90,BL_1C_90_20120611,,,CO2,,6/11/15 14:30,Picarro SSIM,Gas Well,Field,,,,,12640.47214,-22.32697627,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,0,BL_1C_0_20150611,,,CO2,,6/11/15 14:30,Picarro SSIM,Gas Well,Field,,,,,410,-10,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30_20120611,,,CO2,,6/11/15 14:30,Picarro SSIM,Gas Well,Field,,,,,7795.759623,-23.27210335,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,15,BL_1C_15_20120611,,,CO2,,6/11/15 14:30,Picarro SSIM,Gas Well,Field,,,,,5426.278507,-22.67145412,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,30,BL_1C_30 20140624,,,CO2,,6/24/14 17:00,Picarro SSIM,Gas Well,Field,,,,,6408.965402,-24.06982958,,,,,,,,,,,,,,
BEF_250,WarmingExp,1Control,50,BL_1C_50 20140624,,,CO2,,6/24/14 17:00,Picarro SSIM,Gas Well,Field,,,,,7618.04787,-23.76883936,,,,,,,,,,,,,,
