ID,Timepoint,Date,Plot,Treatment,Depth,MidDepth,ExOC,MBC,GWC,VWC,ExTN,MBN
1,0.5,20140603,1,C,Litter,0,1.026369629,8.401616947,NA,NA,NA,NA
2,0.5,20140603,1,C,0-10,5,0.352424662,1.567165649,0.619904505,0.457861467,NA,NA
3,0.5,20140603,1,C,10-20,15,0.693185988,0.322979493,0.392723475,0.367432083,NA,NA
4,0.5,20140603,1,C,20-30,25,0.335902272,0.12003749,0.245537801,0.273185357,NA,NA
5,0.5,20140603,1,C,30-40,35,0.24269371,0.250471826,0.218380888,0.277256375,NA,NA
6,0.5,20140603,1,C,40-50,45,0.184337226,0.163498665,0.18706068,0.263119552,NA,NA
7,0.5,20140603,1,C,50-60,55,0.148815386,0.152517068,0.171297494,0.260988862,NA,NA
8,0.5,20140603,1,C,60-70,65,0.116406955,0.037794511,0.164878265,0.267201715,NA,NA
9,0.5,20140603,1,C,70-80,75,0.327078406,0,0.167365097,0.284118989,NA,NA
10,0.5,20140603,1,C,80-90,85,0.108996661,0,0.158696108,0.278448192,NA,NA
11,0.5,20140603,1,C,90-100,95,0.110816084,0,0.16077125,0.288037771,NA,NA
12,0.5,20140603,1,H,Litter,0,1.049157988,3.344164639,NA,NA,NA,NA
13,0.5,20140603,1,H,0-10,5,0.168400191,0.191124836,0.263554737,0.194661529,NA,NA
14,0.5,20140603,1,H,10-20,15,0.306962454,0.324208479,0.275166056,0.257445362,NA,NA
15,0.5,20140603,1,H,20-30,25,0.207227237,0.07490524,0.226706045,0.252233146,NA,NA
16,0.5,20140603,1,H,30-40,35,0.182004907,0.450954707,0.200541904,0.254608002,NA,NA
17,0.5,20140603,1,H,40-50,45,2.165503606,2.980011107,0.675007522,,NA,NA
18,0.5,20140603,1,H,50-60,55,0.528293947,0.55503257,0.227281334,0.346285841,NA,NA
19,0.5,20140603,1,H,60-70,65,0.168224433,0.079922942,0.1380161,0.223668891,NA,NA
20,0.5,20140603,1,H,70-80,75,0.187121895,0,0.139012354,0.235987373,NA,NA
22,0.5,20140603,2,C,Litter,0,1.566727939,13.19642741,NA,NA,NA,NA
23,0.5,20140603,2,C,0-10,5,0.290650808,1.883555896,0.260091978,0.192103935,NA,NA
24,0.5,20140603,2,C,10-20,15,0.186460312,0.633639585,0.230680903,0.215825053,NA,NA
25,0.5,20140603,2,C,20-30,25,0.263807,0.389773267,0.26482808,0.294647722,NA,NA
26,0.5,20140603,2,C,30-40,35,0.294429701,0.326502352,0.251944778,0.31986909,NA,NA
27,0.5,20140603,2,C,40-50,45,0.175696949,0.238650442,0.255074227,0.358787408,NA,NA
28,0.5,20140603,2,C,50-60,55,0.161176217,0.187093384,0.225686038,0.343855248,NA,NA
29,0.5,20140603,2,C,60-70,65,0.114773811,0.092423919,0.202795224,0.328649941,NA,NA
30,0.5,20140603,2,C,70-80,75,0.180089352,0.072798422,0.195944785,0.332635867,NA,NA
31,0.5,20140603,2,C,80-90,85,0.19935522,0.060606894,0.183221324,0.321480134,NA,NA
32,0.5,20140603,2,C,90-100,95,0.251452957,0,0.17210424,0.308341956,NA,NA
33,0.5,20140603,2,H,Litter,0,1.200146783,9.013016021,NA,NA,NA,NA
34,0.5,20140603,2,H,0-10,5,0.187317649,0.655852861,0.231636076,0.171086406,NA,NA
35,0.5,20140603,2,H,10-20,15,0.267550598,0.529585967,0.186504356,0.174493475,NA,NA
36,0.5,20140603,2,H,20-30,25,0.274123497,0,0.205364858,0.228488941,NA,NA
37,0.5,20140603,2,H,30-40,35,0.133680181,0.31403604,0.189571659,0.240680179,NA,NA
38,0.5,20140603,2,H,40-50,45,0.174695409,0.175706988,0.175651822,0.247071853,NA,NA
39,0.5,20140603,2,H,50-60,55,0.153940603,0.240710006,0.172748866,0.263200173,NA,NA
40,0.5,20140603,2,H,60-70,65,0.15119905,0.126949677,0.158606742,0.257038085,NA,NA
41,0.5,20140603,2,H,70-80,75,0.153186929,0.092937642,0.161688155,0.274481812,NA,NA
42,0.5,20140603,2,H,80-90,85,0.139207833,0.034400441,0.14623182,0.256578352,NA,NA
43,0.5,20140603,3,C,Litter,0,1.743976007,13.30155249,NA,NA,NA,NA
